1 1
01.01.2004 00:00:00.00    86400.0    8.  -6. 0.7 0.28e-3  1.5  0.1
1.8750000	0.348	0.348	16.15	98.40	0.76	62.40
1.8958333	0.429	0.429	15.66	102.30	0.68	69.98
1.9166667	0.485	0.485	15.29	100.70	0.49	119.30
1.9375000	0.559	0.559	14.82	99.40	0.46	294.60
1.9583333	0.570	0.570	13.66	100.00	0.35	286.30
1.9791667	0.533	0.533	13.04	102.90	0.35	281.80
2.0000000	0.407	0.407	12.43	102.90	0.03	280.70
2.0208333	0.315	0.315	12.17	102.60	0.10	279.30
2.0416667	0.185	0.185	12.13	90.00	0.22	265.70
2.0625000	0.167	0.167	11.76	91.10	0.21	236.40
2.0833333	0.189	0.189	11.55	96.40	0.37	215.00
2.1041667	0.096	0.096	10.61	94.80	0.35	331.20
2.1250000	0.085	0.085	10.30	94.20	0.37	269.00
2.1458333	0.026	0.026	9.99	100.40	0.12	249.10
2.1666667	0.015	0.015	9.68	98.10	0.35	268.80
2.1875000	0.004	0.004	9.26	98.80	0.55	266.40
2.2083333	0.030	0.030	9.36	90.70	0.55	264.60
2.2291667	1.774	1.774	9.14	83.10	0.61	266.50
2.2500000	8.640	8.640	9.27	78.70	0.49	254.20
2.2708333	19.870	19.870	9.47	71.50	0.25	198.30
2.2916667	52.440	52.440	10.32	72.10	0.33	151.30
2.3125000	343.000	343.000	12.14	64.27	0.35	149.60
2.3333333	467.600	467.600	13.88	63.38	0.54	151.90
2.3541667	587.100	587.100	15.52	66.35	0.43	137.50
2.3750000	697.300	697.300	16.70	65.97	0.52	141.50
2.3958333	799.000	799.000	18.19	58.21	0.69	126.50
2.4166667	891.000	891.000	19.37	54.15	0.78	139.70
2.4375000	974.000	974.000	20.80	45.63	0.92	112.40
2.4583333	1038.000	1038.000	21.79	42.40	1.01	73.80
2.4791667	1083.000	1083.000	21.72	46.31	1.36	81.00
2.5000000	1113.000	1113.000	21.23	49.02	1.77	43.59
2.5208333	1129.000	1129.000	19.94	50.94	1.91	30.69
2.5416667	1132.000	1132.000	20.40	52.66	1.48	64.49
2.5625000	1123.000	1123.000	20.01	50.23	1.74	44.23
2.5833333	1105.000	1105.000	20.71	42.89	1.70	71.00
2.6041667	1067.000	1067.000	21.44	45.53	1.59	88.60
2.6250000	1009.000	1009.000	21.33	43.49	1.51	68.44
2.6458333	942.000	942.000	21.21	36.02	1.45	80.50
2.6666667	859.000	859.000	20.85	40.87	1.55	79.90
2.6875000	765.000	765.000	20.31	46.60	1.52	87.50
2.7083333	446.800	446.800	19.21	50.87	1.48	75.30
2.7291667	107.500	107.500	18.07	51.80	1.13	78.30
2.7500000	31.460	31.460	16.97	56.06	1.24	84.80
2.7708333	33.630	33.630	16.05	64.94	1.05	101.90
2.7916667	44.940	44.940	15.66	67.81	0.96	80.10
