01.01.2004 00:00:00.00       86400.0    0.2777777910E-05
#  Startdatum              [d] -> [s]  [mm/6min] -> [m/s]
	0.0000	0.0000					
	0.0042	0.0000					
	8.3625	0.0000					
	8.3667	0.2680					
	8.3709	0.0000					
	8.4625	0.0000					
	8.4667	0.2680					
	8.4709	0.0000
	19.4292	0.0000					
	19.4333	0.2680					
	19.4375	0.0000					
	19.4708	0.0000					
	19.4750	0.2680					
	19.4792	0.0000					
	23.3167	0.0000
	23.3208	0.2680
	23.3250	0.0000
	23.3708	0.0000
	23.3750	0.2680
	23.3792	0.0000
	23.3833	0.0000
	23.3875	0.2680
	23.3917	0.0000
	23.3958	0.0000
	23.4000	0.2680
	23.4042	0.0000
	24.4208	0.0000
	24.4250	0.2680
	24.4292	0.2680
	24.4334	0.0000
	24.4542	0.0000
	24.4583	0.2680
	24.4625	0.0000
	24.4875	0.0000
	24.4917	0.2680
	24.4958	0.0000
	24.5000	0.2680
	24.5042	0.0000
	24.5167	0.0000
	24.5208	0.2680
	24.5250	0.5360
	24.5292	0.2680
	24.5333	0.2680
	24.5375	0.2680
	24.5417	0.0000
	24.5458	0.0000
	24.5500	0.2680
	24.5542	0.2680
	24.5583	0.5360
	24.5625	0.5360
	24.5667	0.2680
	24.5709	0.0000
	24.5750	0.0000
	24.5792	0.2680
	24.5833	0.2680
	24.5875	0.0000
	24.5917	0.5360
	24.5959	0.0000
	24.6250	0.0000
	24.6292	0.2680
	24.6333	0.2680
	24.6375	0.0000
	24.6417	0.5360
	24.6458	0.2680
	24.6500	0.0000
	24.6625	0.0000
	24.6667	0.2680
	24.6709	0.0000
	26.4458	0.0000
	26.4500	0.2680
	26.4542	0.0000
	27.7750	0.0000
	27.7792	1.3400
	27.7833	3.2160
	27.7875	1.0720
	27.7917	4.2880
	27.7958	1.3400
	27.8000	0.0000
	27.8042	0.8040
	27.8083	2.9480
	27.8125	4.0200
	27.8167	2.4120
	27.8208	1.0720
	27.8250	1.8760
	27.8292	0.5360
	27.8333	1.0720
	27.8375	0.8040
	27.8417	0.0000
	27.8458	0.0000
	27.8500	0.2680
	27.8542	0.0000
	27.8583	0.2680
	27.8625	0.0000
	27.8667	0.0000
	27.8708	0.2680
	27.8750	0.0000
	27.8792	0.0000
	27.8833	0.2680
	27.8875	0.0000
	29.2958	0.0000
	29.3000	0.2680
	29.3042	0.0000
	45.9125	0.0000
	45.9167	0.2680
	45.9209	0.0000
	45.9250	0.0000
	45.9292	0.2680
	45.9333	0.5360
	45.9375	0.2680
	45.9417	0.8040
	45.9458	3.7520
	45.9500	1.6080
	45.9542	0.8040
	45.9583	1.3400
	45.9625	0.5360
	45.9667	0.2680
	45.9708	0.2680
	45.9750	0.8040
	45.9792	0.5360
	45.9833	0.5360
	45.9875	0.2680
	45.9917	0.2680
	45.9958	0.5360
	46.0000	0.8040
	46.0042	1.3400
	46.0083	0.8040
	46.0125	0.8040
	46.0167	1.0720
	46.0208	0.8040
	46.0250	0.0000
	46.0292	0.0000
	46.0333	1.0720
	46.0375	0.2680
	46.0417	0.0000
	46.0500	0.0000
	46.0542	0.5360
	46.0583	0.8040
	46.0625	0.0000
	46.0667	0.0000
	46.0708	0.2680
	46.0750	0.8040
	46.0792	0.2680
	46.0833	0.5360
	46.0875	0.2680
	46.0917	0.0000
	46.1292	0.0000
	46.1333	0.2680
	46.1375	1.3400
	46.1417	0.2680
	46.1458	0.2680
	46.1500	0.0000
	46.1542	0.0000
	46.1583	1.6080
	46.1625	1.3400
	46.1667	0.8040
	46.1709	0.0000
	46.1833	0.0000
	46.1875	0.8040
	46.1917	0.5360
	46.1958	0.2680
	46.2000	0.8040
	46.2042	0.2680
	46.2083	0.2680
	46.2125	0.0000
	46.2208	0.0000
	46.2250	0.5360
	46.2292	0.5360
	46.2333	1.6080
	46.2375	0.0000
	46.2417	0.5360
	46.2458	1.0720
	46.2500	1.0720
	46.2542	0.2680
	46.2583	0.0000
	46.2625	0.2680
	46.2667	0.2680
	46.2709	0.0000
	46.2750	0.0000
	46.2792	0.2680
	46.2833	0.0000
	46.2875	0.2680
	46.2917	0.0000
	46.3000	0.0000
	46.3042	0.2680
	46.3084	0.0000
	46.3125	0.0000
	46.3167	0.2680
	46.3209	0.0000
	46.4000	0.0000
	46.4042	0.2680
	46.4084	0.0000
	46.4292	0.0000
	46.4333	0.2680
	46.4375	0.5360
	46.4417	0.5360
	46.4458	0.5360
	46.4500	0.5360
	46.4542	0.5360
	46.4584	0.0000
	46.5208	0.0000
	46.5250	0.2680
	46.5292	0.2680
	46.5334	0.0000
	46.5625	0.0000
	46.5667	0.2680
	46.5708	0.2680
	46.5750	0.2680
	46.5792	0.0000
	46.6250	0.0000
	46.6292	0.2680
	46.6333	0.5360
	46.6375	0.0000
	47.2125	0.0000
	47.2167	0.2680
	47.2209	0.0000
	55.5792	0.0000
	55.5833	0.2680
	55.5875	0.0000
	56.7583	0.0000
	56.7625	2.9480
	56.7667	2.6800
	56.7709	0.0000
	58.5833	0.0000
	58.5875	0.2680
	58.5917	0.5360
	58.5958	0.2680
	58.6000	0.0000
	58.6042	0.0000
	58.6083	0.2680
	58.6125	0.0000
	58.6417	0.0000
	58.6458	0.2680
	58.6500	0.0000
	58.6708	0.0000
	58.6750	0.2680
	58.6792	0.0000
	58.6833	0.2680
	58.6875	0.0000
	58.6917	0.0000
	58.6958	0.5360
	58.7000	0.2680
	58.7042	0.0000
	58.7083	0.0000
	58.7125	0.2680
	58.7167	0.2680
	58.7209	0.0000
	59.2250	0.0000
